Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
0.0007,12.11,0.0243,0.0169,0.0135,1H,water,0.00069
0.0008,12.95,0.0277,0.0186,0.015,1H,water,0.00079
0.0009,13.73,0.031,0.0202,0.0164,1H,water,0.00089
0.001,14.47,0.0342,0.0217,0.0178,1H,water,0.00099
0.0011,15.18,0.0375,0.0232,0.0191,1H,water,0.00109
0.0012,15.86,0.0407,0.0246,0.0204,1H,water,0.00119
0.0013,16.5,0.0439,0.0259,0.0216,1H,water,0.00129
0.0014,17.13,0.0471,0.0272,0.0228,1H,water,0.00139
0.0015,17.73,0.0503,0.0284,0.0239,1H,water,0.00149
0.0016,18.31,0.0534,0.0296,0.025,1H,water,0.00159
0.0017,18.87,0.0565,0.0307,0.0261,1H,water,0.00169
0.0018,19.42,0.0596,0.0318,0.0271,1H,water,0.00179
0.002,20.47,0.0657,0.0338,0.0291,1H,water,0.00198
0.00225,21.55,0.0732,0.0361,0.0315,1H,water,0.00223
0.0025,22.56,0.0805,0.0383,0.0337,1H,water,0.00248
0.00275,23.53,0.0878,0.0403,0.0358,1H,water,0.00273
0.003,24.46,0.095,0.0422,0.0378,1H,water,0.00298
0.00325,25.35,0.1021,0.0439,0.0398,1H,water,0.00322
0.0035,26.21,0.109,0.0456,0.0416,1H,water,0.00347
0.00375,27.05,0.1159,0.0471,0.0433,1H,water,0.00372
0.004,27.86,0.1227,0.0486,0.045,1H,water,0.00397
0.0045,29.41,0.1359,0.0513,0.0482,1H,water,0.00446
0.005,30.89,0.1488,0.0537,0.0511,1H,water,0.00496
0.0055,32.3,0.1614,0.0559,0.0538,1H,water,0.00546
0.006,33.64,0.1736,0.058,0.0564,1H,water,0.00595
0.0065,34.93,0.1856,0.0598,0.0588,1H,water,0.00645
0.007,36.18,0.1973,0.0615,0.061,1H,water,0.00695
0.008,38.54,0.2199,0.0646,0.0652,1H,water,0.00794
0.009,40.75,0.2416,0.0673,0.0689,1H,water,0.00893
0.01,42.83,0.2625,0.0697,0.0723,1H,water,0.00992
0.011,44.8,0.2826,0.0718,0.0754,1H,water,0.01091
0.012,46.67,0.3021,0.0737,0.0783,1H,water,0.01191
0.013,48.45,0.3211,0.0754,0.081,1H,water,0.0129
0.014,50.14,0.3395,0.077,0.0834,1H,water,0.01389
0.015,51.76,0.3574,0.0784,0.0858,1H,water,0.01488
0.016,53.3,0.3749,0.0798,0.0879,1H,water,0.01587
0.017,54.78,0.392,0.081,0.09,1H,water,0.01687
0.018,56.2,0.4088,0.0821,0.0919,1H,water,0.01786
0.02,58.86,0.4412,0.0843,0.0955,1H,water,0.01984
0.0225,61.89,0.4802,0.0866,0.0995,1H,water,0.02232
0.025,64.63,0.5176,0.0887,0.1031,1H,water,0.0248
0.0275,67.1,0.5537,0.0905,0.1064,1H,water,0.02728
0.03,69.34,0.5888,0.0921,0.1094,1H,water,0.02976
0.0325,71.35,0.6229,0.0936,0.1122,1H,water,0.03225
0.035,73.17,0.6562,0.0949,0.1148,1H,water,0.03473
0.0375,74.8,0.6889,0.0962,0.1172,1H,water,0.03721
0.04,76.26,0.7209,0.0973,0.1195,1H,water,0.03969
0.045,78.71,0.7836,0.0996,0.1237,1H,water,0.04465
0.05,80.63,0.8447,0.1016,0.1276,1H,water,0.04961
0.055,82.07,0.9047,0.1035,0.1311,1H,water,0.05457
0.06,83.12,0.964,0.1052,0.1345,1H,water,0.05953
0.065,83.82,1.02,0.1068,0.1376,1H,water,0.06449
0.07,84.22,1.08,0.1083,0.1406,1H,water,0.06945
0.08,84.31,1.2,0.1117,0.1463,1H,water,0.07937
0.09,83.67,1.32,0.115,0.1517,1H,water,0.08929
0.1,82.52,1.43,0.1181,0.1568,1H,water,0.09922
0.11,81.02,1.56,0.1211,0.1618,1H,water,0.10914
0.12,79.29,1.68,0.1241,0.1667,1H,water,0.11906
0.13,77.43,1.8,0.1271,0.1716,1H,water,0.12898
0.14,75.5,1.93,0.1301,0.1765,1H,water,0.1389
0.15,73.55,2.07,0.1331,0.1814,1H,water,0.14882
